title,total_ratings,install_million,avg_rating,growth_30days,growth_60days,Category,5_star_rating,4_star_rating,3_star_rating,2_star_rating,1_star_rating,price,paid
Cookie Run: OvenBreak - Endless Running Platformer,883825,10,4,0.7,1.5,Arcade,658521,87562,42961,20344,74434,0,FALSE
Racing Moto,883713,100,4,0.4,0.7,Racing,608166,77193,53756,31658,112937,0,FALSE
Klondike Adventures,882690,10,4,2.4,5.9,Simulation,701501,81667,37640,16884,44995,0,FALSE
Flip Diving,882096,50,4,0.3,0.8,Sports,665550,89779,45159,21600,60005,0,FALSE
Bubble Shooter,881816,100,4,1.2,2.8,Casual,622790,117945,56216,23294,61569,0,FALSE
Solitaire Grand Harvest,881563,10,4,3.1,5.8,Card,687097,115002,29330,13767,36364,0,FALSE
Rodeo Stampede: Sky Zoo Safari,880964,10,4,0.4,0.8,Casual,566493,120253,69961,33039,91215,0,FALSE
Airport City,880659,10,3,0.4,0.9,Simulation,499070,136217,78571,40680,126119,0,FALSE
Kritika: The White Knights,880376,10,4,718.4,0.1,RolePlaying,614909,107710,53285,23653,80817,0,FALSE
Subway Princess Runner,878563,100,4,5.6,11.2,Arcade,594828,74318,50544,35093,123778,0,FALSE
Stickman Warriors,875343,50,4,0.2,0.3,Casual,585941,90239,60299,28150,110712,0,FALSE
Crisis Action: 5th Anniversary,875257,10,3,0.1,0.2,Action,550679,68691,58297,34315,163272,0,FALSE
Supreme Duelist Stickman,875065,100,4,6.4,14.5,Action,702488,63211,30606,16093,62664,0,FALSE
Last Empire - War Z: Strategy,874080,50,4,0,0,Strategy,555162,84313,59108,29384,146111,0,FALSE
Idle Arks: Build at Sea,865040,10,4,5.5,14,Casual,638136,98626,54652,22207,51416,0,FALSE
Miraculous Ladybug & Cat Noir,864581,100,4,2.5,5.3,Action,650499,70109,36672,23021,84278,0,FALSE
PAC-MAN,860147,100,3,0.3,0.7,Arcade,523785,98246,65754,38475,133885,0,FALSE
Alien Creeps TD - Epic tower defense,853029,10,4,0.2,0.4,Strategy,587382,144144,56887,19392,45222,0,FALSE
Real Bike Racing,851386,100,4,2.8,6.1,Racing,571641,72556,52594,32840,121752,0,FALSE
Turbo Stars - Rival Racing,849317,50,4,2,4.4,Racing,648879,74627,40777,19697,65335,0,FALSE
Bubbu – My Virtual Pet,847777,50,4,1.8,3.7,Casual,660874,63957,33911,20752,68280,0,FALSE
Top Speed: Drag & Fast Racing,847739,10,4,0.4,0.8,Racing,679415,70848,31619,14431,51423,0,FALSE
Cafeland - World Kitchen,841432,10,4,1.3,2.6,Simulation,605637,115698,51236,20680,48178,0,FALSE
Brain Test 2: Tricky Stories,837271,10,4,4.9,9.3,Trivia,657949,100330,27744,11337,39908,0,FALSE
World Cricket Championship Lt,830720,50,4,1.1,2,Sports,553923,84564,54753,30030,107447,0,FALSE
June's Journey: Hidden Objects,830121,10,4,1.9,4,Adventure,580582,143752,41142,16642,48000,0,FALSE
Vainglory,830008,10,3,0,0,Strategy,464657,63877,52953,38624,209896,0,FALSE
Jungle Heat: War of Clans,828238,10,4,0,0,Strategy,577865,84762,49003,21305,95300,0,FALSE
Smash Hit,827611,100,4,0,0.1,Arcade,647207,100159,36474,9363,34405,0,FALSE
FINAL FANTASY BRAVE EXVIUS,825827,10,4,0.2,0.3,RolePlaying,527674,133134,51983,25372,87661,0,FALSE
Murder in the Alps,822854,10,4,1,2.2,Adventure,499384,155809,79328,34103,54228,0,FALSE
Doodle Alchemy,819672,10,4,0.2,0.4,Puzzle,633312,108225,42934,12432,22766,0,FALSE
Zombie Castaways,813912,10,4,0.3,0.8,Simulation,617744,106689,43975,14804,30698,0,FALSE
Injustice 2,809654,10,4,0.5,1.3,Action,537380,104057,50801,25962,91451,0,FALSE
NARUTO X BORUTO NINJA VOLTAGE,809487,10,4,1.9,4.2,Action,550198,75892,46216,25340,111839,0,FALSE
Flippy Knife,808331,10,4,0.3,0.8,Action,514130,120636,67629,30074,75860,0,FALSE
Bus Rush,800432,100,4,0.1,0.2,Action,565625,79308,51475,23173,80847,0,FALSE
Score! Match - PvP Soccer,800381,50,4,1.8,3.7,Sports,533959,91057,51104,23326,100933,0,FALSE
BLOOD & GLORY,799866,10,3,0,0,Action,487332,76581,33776,18217,183958,0,FALSE
Murder us,799114,10,4,2.9,9,Action,628812,68233,33155,13323,55590,0,FALSE
The Walking Dead No Man's Land,796172,10,4,0.3,0.8,Strategy,583685,128382,39518,12969,31616,0,FALSE
Barbie Dreamhouse Adventures,796153,50,4,3.2,7.6,Simulation,546289,80821,46463,27262,95315,0,FALSE
Robbery Bob 2: Double Trouble,794575,50,4,1.7,3.6,Action,614844,53826,33678,20882,71341,0,FALSE
Shadow Fight 2,792071,100,4,0.1,0.2,Action,680584,47463,18399,8824,36799,0,FALSE
Kite Flying - Layang Layang,791739,50,4,0.3,0.6,Sports,563091,61090,40304,25448,101803,0,FALSE
Multiplayer for Minecraft PE - MCPE Servers,791425,10,4,0.3,0.7,Arcade,534451,43551,39653,26844,146923,0,FALSE
Vector 2,788653,50,4,0.3,0.7,Action,537934,79339,56540,30852,83985,0,FALSE
Bingo Blitza - Bingo Games,788064,10,4,1.8,3.9,Board,604370,104216,34581,14116,30778,0,FALSE
Granny: Chapter Two,784985,50,4,4.4,9.6,Arcade,587579,62902,32887,21327,80287,0,FALSE
BTS WORLD,781393,10,4,0.7,1.4,Casual,689356,38419,16073,7813,29731,0,FALSE
CarX Highway Racing,780720,10,4,3.5,7.1,Racing,606816,109933,25613,9960,28395,0,FALSE
Art of War: Legions,780016,10,4,1.4,3.1,Strategy,603243,59946,33610,18683,64532,0,FALSE
Geometry Dash,777941,1,4,0.7,1.3,Arcade,636912,73308,24749,9026,33945,1.99,TRUE
Let's Create! Pottery Lite,777217,10,4,0.3,0.5,Casual,532145,83892,54115,28958,78104,0,FALSE
Slap Kings,777188,50,4,1.4,3.1,Action,551328,86449,45301,21966,72141,0,FALSE
